0,1,2
20170820,8,관람객아이가 좋아했어요 근데 시간이 좀 긴감이 있어 뒤로갈수록  집중하기 힘들었어요  
20170820,8,관람객아이들이 충분히 좋아할수 있는 스토리로 잼있어요  
20170820,9,관람객재미있게 봤어요....  
20170820,7,관람객아이가 또 보고 싶다고 하네요.^^  
20170820,7,관람객아이는 재미있게 보네요  
20170820,8,관람객애들이 무척 좋아하네요  
20170820,10,관람객아이들이 좋아했어요.  
20170820,7,관람객아이가 매우 좋아 합니다.  
20170820,8,관람객아이와 재미있게 봤어요  
20170820,10,관람객아이가 좋아하네요 너무 재밌어합니다  
20170820,8,관람객어릴때부터보던친숙한캐릭터들이라 재밌게보고왔어요 단 어린이아이들이 너무 무례하게굴어서 짜증났던거빼고말이죠아무리어린아이들이라지만 부모님들이 보호자로 오셧으면 아이들 케어좀 해주셧으면 좋겠습니다 너무 버릇없어요 뭐 아닌아이들도 있겠지만요 영화자체는 좋아요!  
20170819,8,관람객재밌게 봤어요~~ 6세 아들은 조금 지루해했어요  
20170819,9,관람객아이들이 너무 좋아하고 재미있게 봤어요  
20170819,10,관람객사랑해요 도라에몽...  
20170819,9,관람객아이랑 재잇게 잘밧어요  
20170819,10,도라에몽 극장판은 다 최고인것 같다  
20170819,5,관람객아이랑 재미있게 보았습니다^^  
20170819,6,관람객초딩 동생 보여주러갔었는데제가 더 재밌게보고왔네요~  
20170819,9,관람객도라애몽은 언제봐도 꿀잼~  
20170819,8,관람객재미잇게 잘받어요.애들이 너무좋아하네요  
20170819,8,관람객아이들이 재미있다네요  
20170819,7,관람객저도 도라에몽을 좋아해서 아이들과 같이 보게됐네요.기대했던것보단 재미는 덜 했지만 아이들은 재밌다며 좋아했답니다.  
20170819,9,관람객아이들이 엄청 좋아하는 도라에몽 시리즈~다음편도 기대해요!  
20170819,10,관람객아이들도 한번더보고싶어하는 영화에요  
20170819,10,관람객아이들이 워낙 도라에몽을 좋아하지만 눈을 못떼더라구요 재미있었습니다  
20170819,10,관람객완전 완전 재미있었어요. 아이들도 신이나고...끝났는데도 자리를 뜰수없었다는...감사합니다.  
20170819,7,관람객재미있어해요 애들은 전 졸았네요  
20170819,10,관람객아이들이 재미나게 봤어요  
20170819,8,관람객모처럼 스케일이 크네요  
20170819,6,관람객도라에몽 목소리가 잘 안들렸어요  저만 그런가요~  
20170819,9,관람객아이들이 재미있게 잘 보았습니다  
20170819,8,관람객시원하니 좋았어요 옛날생각도 나고 애들도 좋아하네요  
20170818,6,관람객그냥 그럭저럭 여름이라 시원해보임  
20170818,7,관람객재미있었어요 아이가 엄청 좋아하더라구요  
20170818,7,관람객애들이랑  재미나게 보고왔네요~^^  
20170818,6,관람객전좀 지루하던데 아이는 재밌게 잘보더라구요..;;포켓몬도 재밌게 본 엄마인데 도라에몽은 제취양이 아닌가 싶네요 ㅡㅡ;;  
20170818,5,관람객생각했던거보다 재미없고지루했어요~~  
