Unnamed: 0.1,Unnamed: 0.1.1,movieCd,movieNm,director,naverCd,naver_movieCd,ntz_see_score,spc_score,ntz_score
90,90,20179901,혹성탈출: 종의 전쟁,맷 리브스,0,143394.0,8.15,7.75,7.92
91,91,20179187,공범자들,최승호,0,165461.0,9.61,6.44,9.13
92,92,20179696,그것,안드레스 무시에티,0,154668.0,7.66,6.6,6.96
93,93,20170268,매혹당한 사람들,소피아 코폴라,0,154267.0,7.77,7.0,6.84
94,94,20171022,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,닛타 노리오,0,167035.0,0.0,0.0,8.03
95,95,20171923,저수지 게임,최진성,0,162824.0,9.69,6.67,9.21
96,96,20172148,몬스터 섬의 비밀,레오폴도 아귈라,0,167103.0,8.25,0.0,7.87
97,97,20160703,"좋아해, 너를",이마이즈미 리키야,0,144213.0,8.25,4.5,8.47
98,98,20177541,아메리칸 메이드,더그 라이만,0,137945.0,7.71,6.67,7.72
99,99,20170607,몬스터 콜,후안 안토니오 바요나,0,125401.0,8.59,6.88,8.57
100,100,20170302,윈드 리버,테일러 쉐리던,0,149757.0,8.52,7.33,8.52
101,101,20161481,군함도,류승완,0,146506.0,7.34,6.17,5.28
102,102,20168241,잃어버린 도시 Z,제임스 그레이,0,70627.0,7.06,6.83,7.06
103,103,20173403,슈퍼배드 3,피에르 꼬팽,0,132626.0,8.76,5.0,8.69
104,104,20164621,덩케르크,크리스토퍼 놀란,0,146480.0,8.62,8.55,8.29
105,105,20167303,스파이더맨: 홈 커밍,존 와츠,0,135874.0,8.83,7.0,8.38
106,106,20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,하시모토 마사카즈,0,156477.0,8.67,0.0,8.65
107,107,20174801,내 사랑,에이슬링 월쉬,0,154437.0,9.17,6.71,9.17
108,108,20177181,47 미터,조하네스 로버츠,0,152616.0,7.33,4.0,7.24
109,109,20177501,플립,롭 라이너,0,76309.0,9.11,6.0,9.2
110,110,20175522,카3: 새로운 도전,브라이언 피,0,152396.0,8.62,5.5,8.51
111,111,20170124,명탐정 코난:진홍의 연가,시즈노 코분,0,159054.0,8.9,6.0,8.8
112,112,20179186,이모티: 더 무비,토니 레온디스,0,158651.0,7.64,7.0,6.35
113,113,20161081,애나벨 : 인형의 주인,데이비드 F. 샌드버그,0,152341.0,7.59,7.0,7.29
114,114,20178762,파리로 가는 길,엘레노어 코폴라,0,154458.0,8.12,5.17,7.9
115,115,20178641,빅풋 주니어,제레미 드그루손,0,165025.0,8.82,0.0,8.87
116,116,20179085,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,다카하시 아츠시,0,153279.0,8.68,6.0,8.85
118,118,20170022,다크타워: 희망의 탑,니콜라이 아르셀,0,146407.0,7.38,4.25,7.36
119,119,20165001,더 테이블,김종관,0,151117.0,8.32,5.5,7.98
120,120,20170389,극장판 위 베어 베어스: 곰 브라더스,매니 에르난데스,0,166083.0,7.65,0.0,7.55
121,121,20178982,박열,이준익,0,155716.0,8.48,6.7,8.09
122,122,20166967,트랜스포머: 최후의 기사,마이클 베이,0,123630.0,6.9,2.83,6.3
123,123,20159647,리얼,이사랑,0,137008.0,4.42,2.67,4.24
124,124,20158485,옥자,봉준호,0,143435.0,8.77,7.33,8.45
125,125,20166488,미이라,알렉스 커츠먼,0,120160.0,7.49,5.71,7.24
126,126,20166384,하루,조선호,0,152168.0,7.69,4.6,7.08
127,127,20176961,지랄발광 17세,켈리 프레몬,0,149776.0,0.0,6.4,7.98
128,128,20162343,악녀,정병길,0,155256.0,7.82,5.4,6.95
129,129,20178121,부니베어: 로거빅 컴백홈 프로젝트,정량,0,164342.0,6.56,0.0,6.77
131,131,20020186,헤드윅,존 카메론 밋첼,0,31827.0,9.46,0.0,9.2
132,132,20174602,노무현입니다,이창재,0,162173.0,9.49,6.67,8.93
133,133,20176102,그 후,홍상수,0,162956.0,7.99,7.0,6.42
135,135,20176511,베를린 신드롬,케이트 쇼트랜드,0,158864.0,4.8,4.5,6.01
137,137,20176741,꼬마참새 리차드: 아프리카 원정대,토비 젠켈,0,160464.0,8.71,0.0,8.71
138,138,20177202,토마스와 친구들: 수수께끼 해적선과 보물찾기,데이비드 스토튼,0,148994.0,7.88,6.0,7.83
139,139,20081056,다크 나이트,크리스토퍼 놀란,0,62586.0,10.0,8.7,9.33
140,140,20177761,오즈: 신기한 마법가루,블라디미르 토로프킨,0,165029.0,7.58,0.0,7.69
141,141,20176562,예수는 역사다,존 건,0,158910.0,9.04,4.0,7.69
143,143,20161872,너의 이름은.,신카이 마코토,0,150198.0,9.02,7.55,8.75
144,144,20176781,내가 죽기 전에 가장 듣고 싶은 말,마크 펠링톤,0,142634.0,0.0,5.33,8.45
145,145,20177701,위시 어폰,존 R. 레오네티,0,154262.0,7.63,3.5,7.19
146,146,20178646,송 투 송,테렌스 맬릭,0,114268.0,5.71,5.0,6.62
147,147,20168261,원더 우먼,팻티 젠킨스,0,125473.0,8.24,6.7,7.7
148,148,20169348,대립군,정윤철,0,149221.0,7.59,6.5,7.29
149,149,20170982,캐리비안의 해적: 죽은 자는 말이 없다,에스펜 샌버그,0,82473.0,8.58,5.2,8.29
150,150,20175262,겟 아웃,조던 필,0,156083.0,8.44,7.14,8.24
151,151,20174803,7번째 내가 죽던 날,라이 루소 영,0,144988.0,8.65,4.67,7.56
152,152,20164844,불한당: 나쁜 놈들의 세상,변성현,0,154112.0,8.15,5.83,6.2
153,153,20162629,하이큐!! 끝과 시작,미츠나카 스스무,0,140803.0,9.11,0.0,8.91
154,154,20173642,너와 100번째 사랑,츠키카와 쇼,0,156417.0,8.48,4.67,7.95
155,155,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,야마구치 켄타로,0,163027.0,0.0,0.0,7.46
156,156,20174061,보스 베이비,톰 맥그라스,0,129094.0,8.84,5.2,8.67
157,157,20174821,바다 탐험대 옥토넛 시즌4: 더 파이널,다라 오코넬,0,160964.0,8.38,0.0,8.32
158,158,20175581,파워배틀 와치카: 와치가면의 역습,이영준,0,162933.0,8.49,4.0,8.42
159,159,20160483,꿈의 제인,조현훈,0,154980.0,8.88,7.0,8.59
160,160,20173833,심야식당 2,마츠오카 조지,0,156091.0,8.8,5.67,8.59
161,161,20175142,극장판 쿠로코의 농구 라스트 게임,타다 슌스케,0,156185.0,9.55,0.0,9.16
162,162,20168041,용순,신준,0,154508.0,8.04,5.67,6.81
163,163,20175423,나의 붉은고래,양선,0,152309.0,7.59,5.5,5.82
164,164,20175662,엘르,폴 버호벤,0,147067.0,8.35,8.09,7.81
165,165,20172241,꼬마돼지 베이브의 대모험,테레사 스트로젝,0,159521.0,7.81,0.0,7.63
166,166,20176201,더 서클,제임스 폰솔트,0,143099.0,0.0,3.67,7.05
167,167,20175982,다크 하우스,대런 린 보우즈만,0,141184.0,5.82,2.33,5.44
168,168,20040526,첫키스만 50번째,피터 시걸,0,38227.0,9.21,6.0,9.21
169,169,20161726,임금님의 사건수첩,문현성,0,144280.0,8.05,5.63,7.71
170,170,20162871,특별시민,박인제,0,146485.0,7.74,5.91,7.39
171,171,20167542,분노의 질주: 더 익스트림,F. 게리 그레이,0,140731.0,9.18,6.0,8.97
172,172,20161665,스머프: 비밀의 숲,캘리 애스버리,0,118966.0,8.61,7.0,8.58
173,173,20174165,극장판 또봇: 로봇군단의 습격,고동우,0,161847.0,0.0,6.0,9.29
174,174,20164721,미녀와 야수,빌 콘돈,0,136872.0,8.99,7.0,8.79
175,175,20151227,아빠는 딸,김형협,0,143473.0,8.56,4.0,8.07
176,176,20173301,"서서평, 천천히 평온하게",홍주연,0,160135.0,9.41,5.5,9.21
177,177,20164829,나는 부정한다,믹 잭슨,0,144984.0,8.53,6.14,8.48
178,178,20172541,오두막,스튜어트 하젤딘,0,125447.0,9.13,4.0,8.55
179,179,20163603,가디언즈 오브 갤럭시 VOL. 2,제임스 건,0,127398.0,9.05,6.25,8.93
180,180,20162722,보안관,김형주,0,146524.0,8.26,5.89,7.89
181,181,20173061,슈퍼 빼꼼: 스파이 대작전,임아론,0,94183.0,8.15,4.5,8.36
183,183,20170321,목소리의 형태,야마다 나오코,0,153964.0,8.74,7.6,8.42
184,184,20156708,석조저택 살인사건,정식,0,127346.0,8.22,4.67,7.28
185,185,20163185,언노운 걸,장 피에르 다르덴,0,150372.0,8.17,7.0,7.87
186,186,20179382,에이리언: 커버넌트,리들리 스콧,0,99715.0,8.19,7.11,8.13
187,187,20173961,킹 아서: 제왕의 검,가이 리치,0,127374.0,8.11,5.25,7.78
188,188,20174721,로스트 인 파리,도미니크 아벨,0,156259.0,8.07,6.0,7.94
190,190,20174644,길,정인봉,0,158536.0,8.38,4.5,8.26
192,192,20162181,프리즌,나현,0,146517.0,8.25,6.0,7.58
193,193,20163194,공각기동대 : 고스트 인 더 쉘,루퍼트 샌더스,0,134838.0,7.27,5.14,6.96
194,194,20151230,원라인,양경모,0,142699.0,8.68,5.71,8.17
